"questions","answers","A","B","C","D","full_sentence"
"Creating a(n) _____ forecast requires estimating the expected monthly expenditures and matching those against the likely monthly income.","cash flow","cash flow","current account","operating","turnover","Creating a(n) cash flow forecast requires estimating the expected monthly expenditures and matching those against the likely monthly income."
"Many companies maintain a _____ budget, so that they are continually budgeting for this time next year.","rolling","floating","moving","rolling","shifting","Many companies maintain a rolling budget, so that they are continually budgeting for this time next year."
"The Commission on European Contract Law recognizes that throughout Europe there is great interest in developing a common European _____ and commercial law.","civil","civil","corporate","individual","personal","The Commission on European Contract Law recognizes that throughout Europe there is great interest in developing a common European civil and commercial law."
"The efforts and money which it will cost to unify the private law will be _____ repaid when it is there.","amply","amply","annually","entirely","mainly","The efforts and money which it will cost to unify the private law will be amply repaid when it is there."
"In 1997, the Third Commission began to prepare rules on subjects which are common to contracts, torts and unjust enrichment, such as plurality of creditors and debtors, and _____ of debts and claims.","assignment","advisement","alignment","arrangement","assignment","In 1997, the Third Commission began to prepare rules on subjects which are common to contracts, torts and unjust enrichment, such as plurality of creditors and debtors, and assignment of debts and claims."
"With a few exceptions the members of the Commission of European Contract Law have been academics, but many of the academics are also _____ lawyers.","practicing","practical","practiced","practicing","practicum","With a few exceptions the members of the Commission of European Contract Law have been academics, but many of the academics are also practicing lawyers."
"The Members have not been representatives of specific political or governmental _____, and they have all pursued the same objective, to draft the most appropriate contract rules for Europe.","interests","interests","liaisons","platforms","wings","The Members have not been representatives of specific political or governmental interests, and they have all pursued the same objective, to draft the most appropriate contract rules for Europe."
"The Principles may be compared with the American Restatement of the Law of Contract, which consists of non-binding rules, or ""_____"".","soft law","by law","false law","near law","soft law","The Principles may be compared with the American Restatement of the Law of Contract, which consists of non-binding rules, or ""soft law""."
"Some of the Principles of European Contract Law reflect ideas which have not yet _____ in the law of any state.","materialised","adopted","approached","materialised","realised","Some of the Principles of European Contract Law reflect ideas which have not yet materialised in the law of any state."
"The Commission has made an effort to deal with those issues in contract which face business life of today and which may _____ the trade.","advance","adhere","advance","advertise","advise","The Commission has made an effort to deal with those issues in contract which face business life of today and which may advance the trade."
"The Council and the Commission of the EU have been invited to prepare new procedural legislation in _____ border cases, in particular on those elements which are instrumental to a smooth judicial co-operation.","cross","beyond","both","cross","over","The Council and the Commission of the EU have been invited to prepare new procedural legislation in cross border cases, in particular on those elements which are instrumental to a smooth judicial co-operation."
"It is envisaged that the general principles of the law of contracts provided in the PECL will be _____ in what may eventually become a European Civil Code.","integrated","imagined","instigated","integrated","investigated","It is envisaged that the general principles of the law of contracts provided in the PECL will be integrated in what may eventually become a European Civil Code."
"The first goal in writing a business letter is to get the recipient's _____.","attention","address","attention","services","trade","The first goal in writing a business letter is to get the recipient's attention."
"One fundamental _____ of effective writing is to put the key information at the beginning.","principle","case","example","principle","situation","One fundamental principle of effective writing is to put the key information at the beginning."
"Avoid _____ down the beginning of the letter with abundant information of which the reader is already aware, however.","weighing","gearing","setting","weighing","writing","Avoid weighing down the beginning of the letter with abundant information of which the reader is already aware, however."
"Effective writing is _____ reading that makes the recipient want to read further.","effortless","affected","effortless","effusive","offensive","Effective writing is effortless reading that makes the recipient want to read further."
"In writing commercial correspondence, it is important to employ a friendly yet efficient _____.","tone","feeling","mood","tense","tone","In writing commercial correspondence, it is important to employ a friendly yet efficient tone."
"Try to aim for a _____ style, but without employing bad grammar, slang, or otherwise questionable English.","conversational","controversial","convenient","conventional","conversational","Try to aim for a conversational style, but without employing bad grammar, slang, or otherwise questionable English."
"Be merciless in eliminating the _____ that most people put into letters: it wastes the recipient's time and tries his or her patience.","padding","backing","clouding","complaining","padding","Be merciless in eliminating the padding that most people put into letters: it wastes the recipient's time and tries his or her patience."
"A good business letter is simple and straightforward without being simplistic or _____.","patronizing","panoramic","paternal","patriotic","patronizing","A good business letter is simple and straightforward without being simplistic or patronizing."
"The conclusion or ending paragraph should bring the communication to a polite and _____ close.","businesslike","businesslike","interminable","measurable","subtle","The conclusion or ending paragraph should bring the communication to a polite and businesslike close."
"Unfortunately, the ending paragraphs in much commercial correspondence employ wordy and overused phrases that detract from the letter's _____.","impact","contact","contract","extract","impact","Unfortunately, the ending paragraphs in much commercial correspondence employ wordy and overused phrases that detract from the letter's impact."
"Brian Moran writes in SQL Server Magazine (March 2005) that an interesting battle is taking _____ between Microsoft and Oracle, two titans of the database world, and the prize is business-application software.","shape","form","part","shape","stage","Brian Moran writes in SQL Server Magazine (March 2005) that an interesting battle is taking shape between Microsoft and Oracle, two titans of the database world, and the prize is business-application software."
"Pricing for databases and prices for high-end business-application software can be _____ entwined when a vendor controls both the business layer software and the database.","inexorably","inevitably","inexorably","inevitably","irrevocably","Pricing for databases and prices for high-end business-application software can be inexorably entwined when a vendor controls both the business layer software and the database."
"Vendors who sell both have a lot more margin to _____ with and can be a lot more creative about how they price a total package for customers.","play","control","deal","play","sell","Vendors who sell both have a lot more margin to play with and can be a lot more creative about how they price a total package for customers."
"Microsoft and Oracle are _____ competitors in the database space; competition in other areas inevitably has an effect on their database competitions.","fierce","febrile","fiendish","fierce","fleet","Microsoft and Oracle are fierce competitors in the database space; competition in other areas inevitably has an effect on their database competitions."
"Earlier this year, Oracle (the second largest provider of business application software) merged with PeopleSoft (the third largest provider), which had already _____ J. D. Edwards (another major provider) back in 2003.","swallowed","engorged","gulped","inhaled","swallowed","Earlier this year, Oracle (the second largest provider of business application software) merged with PeopleSoft (the third largest provider), which had already swallowed J. D. Edwards (another major provider) back in 2003."
"SAP is still the dominant provider, but Oracle's PeopleSoft acquisition is intended to grow the company's _____ application division.","flagging","flagging","shrinking","waxing","wilting","SAP is still the dominant provider, but Oracle's PeopleSoft acquisition is intended to grow the company's flagging application division."
"So a series of acquisitions has led to a(n) _____ in which SAP and Oracle share market leadership in the world of business application software.","oligopoly","cartel","consortium","monopoly","oligopoly","So a series of acquisitions has led to a(n) oligopoly in which SAP and Oracle share market leadership in the world of business application software."
"At the same time, Microsoft has been _____ slow but steady strides in building its own competitive offerings in this space.","making","forming","making","stretching","taking","At the same time, Microsoft has been making slow but steady strides in building its own competitive offerings in this space."
"Microsoft has been on a buying _____ since its purchase of Great Plains several years ago, acquiring Solomon and several other niche companies to stitch together the Microsoft Business Solutions Business Group.","spree","binge","burst","spell","spree","Microsoft has been on a buying spree since its purchase of Great Plains several years ago, acquiring Solomon and several other niche companies to stitch together the Microsoft Business Solutions Business Group."
"The competition between Microsoft and Oracle isn't only about business software; both companies are _____ to be platform companies.","striving","starving","straining","stretching","striving","The competition between Microsoft and Oracle isn't only about business software; both companies are striving to be platform companies."
"All _____ the world, cellular telephones are being used more and more.","around","about","around","in","past","All around the world, cellular telephones are being used more and more."
"Cell phones are hand- _____ devices; they are also called wireless or mobile phones.","held","carried","crafted","held","made","Cell phones are hand- held devices; they are also called wireless or mobile phones."
"Cell phones are _____ with users because they are small, light and easily transported.","popular","common","famous","popular","well-liked","Cell phones are popular with users because they are small, light and easily transported."
"Cellular telephones are actually little different than two- _____ radios.","way","channel","party","path","way","Cellular telephones are actually little different than two- way radios."
"A caller speaks into a cell phone, and it picks _____ his or her voice, transforming the sound into radio waves.","up","at","out","over","up","A caller speaks into a cell phone, and it picks up his or her voice, transforming the sound into radio waves."
"Then these radio waves are transmitted through the atmosphere until they meet a _____ base station.","nearby","near","nearby","nearly","neighborhood","Then these radio waves are transmitted through the atmosphere until they meet a nearby base station."
"The station sends your phone call _____ the standard telephone network, where it eventually reaches the receiver.","through","among","around","at","through","The station sends your phone call through the standard telephone network, where it eventually reaches the receiver."
"Cell phones provide a vast array of _____ these days, and new ones are being added all the time.","functions","buttons","customers","duties","functions","Cell phones provide a vast array of functions these days, and new ones are being added all the time."
"When someone calls you, your cell phone receiver _____ radio waves sent out by the base station.","detects","collects","detects","elects","selects","When someone calls you, your cell phone receiver detects radio waves sent out by the base station."
"Inside your cell phone, these waves are converted _____ into the sound of the caller's voice.","back","back","backward","forth","forward","Inside your cell phone, these waves are converted back into the sound of the caller's voice."
"According to NAREIT (Yungmann and Taube, 2001), property insurance coverage should be based on fair value, i.e., valuing assets at their current market values - actual, if available, or _____, if not.","theoretical","comparative","previous","projected","theoretical","According to NAREIT (Yungmann and Taube, 2001), property insurance coverage should be based on fair value, i.e., valuing assets at their current market values - actual, if available, or theoretical, if not."
"Much of the fair value debate has had a technical focus on how to place fair values on assets for which no market values _____.","exist","apply","compare","exist","obtain","Much of the fair value debate has had a technical focus on how to place fair values on assets for which no market values exist."
"While the technical issues are important, the real driver should be improving _____ for users of financial statements.","transparency","opacity","redundancy","translucency","transparency","While the technical issues are important, the real driver should be improving transparency for users of financial statements."
"A single global standard will increase the _____ of financial presentations, which currently vary considerably.","consistency","completeness","comprehension","consistency","control","A single global standard will increase the consistency of financial presentations, which currently vary considerably."
"A comprehensive standard _____ comparability across all types of financial institutions.","facilitates","correlates","facilitates","initiates","legislates","A comprehensive standard facilitates comparability across all types of financial institutions."
"When accounting values for assets _____ from their underlying market values, some managements take uneconomic actions to protect accounting performance measures.","diverge","detract","distract","diverge","divide","When accounting values for assets diverge from their underlying market values, some managements take uneconomic actions to protect accounting performance measures."
"For example, during the U.S. savings and loan crisis in the 1980s, many institutions _____ assets with market values above book and continued to hold assets with book values above market.","sold off","sold off","sold out","underwrote","wrote off","For example, during the U.S. savings and loan crisis in the 1980s, many institutions sold off assets with market values above book and continued to hold assets with book values above market."
"In hindsight, users of their financial statements were not well served by the accounting system _____ at the time.","in place","at hand","in place","on hold","underway","In hindsight, users of their financial statements were not well served by the accounting system in place at the time."
"Fair value _____ argue that measuring financial assets as close as possible to their true underlying economic values removes these perverse incentives.","proponents","presentations","proponents","propositions","protocols","Fair value proponents argue that measuring financial assets as close as possible to their true underlying economic values removes these perverse incentives."
"Users would also benefit from a clearer picture of the economic _____ of the enterprise.","health","breath","health","heart","scene","Users would also benefit from a clearer picture of the economic health of the enterprise."
"Company benefits are often a significant portion of the employee's compensation _____.","package","package","parcel","salary","set","Company benefits are often a significant portion of the employee's compensation package."
"When considering an offer, the candidate should examine any benefits offered by the _____ employer.","prospective","preferred","prescriptive","progressive","prospective","When considering an offer, the candidate should examine any benefits offered by the prospective employer."
"Generous benefits can contribute up to 35 or 40 percent to the _____ compensation for a job.","overall","overage","overall","overpaid","overseen","Generous benefits can contribute up to 35 or 40 percent to the overall compensation for a job."
"Health insurance is an important benefit; it is less expensive through the employer at _____ rates than when taking it out on one's own.","group","department","division","group","team","Health insurance is an important benefit; it is less expensive through the employer at group rates than when taking it out on one's own."
"Should the employee become ill or have an accident, his or her medical _____ is adequately covered.","treatment","bandage","injury","repair","treatment","Should the employee become ill or have an accident, his or her medical treatment is adequately covered."
"Many US employers now help cover the expense of _____ facilities in their communities.","childcare","childcare","childhood","childish","childlike","Many US employers now help cover the expense of childcare facilities in their communities."
"Another important benefit now often offered is flextime, which allows the employee to vary his or her working hours, within _____, each day.","limits","hours","limits","ranges","reasons","Another important benefit now often offered is flextime, which allows the employee to vary his or her working hours, within limits, each day."
"On the other hand, fewer companies are offering pension plans that guarantee a fixed monthly sum to _____.","retirees","employees","layoffs","retirees","seniors","On the other hand, fewer companies are offering pension plans that guarantee a fixed monthly sum to retirees."
"Another benefit, the stock ownership plan, permits the employee to buy _____ of the company's stock at subsidized prices.","shares","sections","segments","shares","slices","Another benefit, the stock ownership plan, permits the employee to buy shares of the company's stock at subsidized prices."
"_____ is a work plan that permits the employee to work from his or her home.","Telecommuting","Telecommunicating","Telecommuting","Teleconferring","Telejobbing","Telecommuting is a work plan that permits the employee to work from his or her home."
"Being a delegate at conferences and other gatherings is a valuable opportunity whether or not you present a _____.","paper","gift","negotiation","paper","presentation","Being a delegate at conferences and other gatherings is a valuable opportunity whether or not you present a paper."
"At such events, you will get an accurate _____ of the current direction of the industry.","sense","opinion","rationale","sense","thought","At such events, you will get an accurate sense of the current direction of the industry."
"And if you are scheduled to give a talk, you will gain increased _____.","visibility","action","activity","honorarium","visibility","And if you are scheduled to give a talk, you will gain increased visibility."
"Actually, it is not very important for you to attend any of the _____ exhibitions.","vendor","vended","vending","vendor","vent","Actually, it is not very important for you to attend any of the vendor exhibitions."
"In order for you to be _____ into your industry and its market, it is important for you to go to such events.","plugged","plugged","posted","presented","proven","In order for you to be plugged into your industry and its market, it is important for you to go to such events."
"The importance of conferences is not the seminars or workshops, but the refreshment breaks and chatting at the bar after the day is _____.","done","accumulated","cancelled","discussed","done","The importance of conferences is not the seminars or workshops, but the refreshment breaks and chatting at the bar after the day is done."
"The key feature of a conference is the chance to meet those whom you would not _____ have met.","otherwise","elsewhere","ever","otherwise","outside","The key feature of a conference is the chance to meet those whom you would not otherwise have met."
"Be sure to carry your business cards, and do not hesitate to _____ cards with anyone you meet.","exchange","change","charge","except","exchange","Be sure to carry your business cards, and do not hesitate to exchange cards with anyone you meet."
"And finally: do not forget to enjoy your host city: conference information packages often _____ nearby attractions and sightseeing opportunities.","spotlight","delight","enlighten","limelight","spotlight","And finally: do not forget to enjoy your host city: conference information packages often spotlight nearby attractions and sightseeing opportunities."
"Well ahead of time, however, you should plan a balance of scheduled conference activities and events that _____ your needs.","suit","align","extend","measure","suit","Well ahead of time, however, you should plan a balance of scheduled conference activities and events that suit your needs."
"Dr. Lars Perner explains that as well as the study of how products are purchased, consumer behavior also involves their use and _____, since many environmental problems result from the latter.","disposal","disposal","disturbance","perusal","reuse","Dr. Lars Perner explains that as well as the study of how products are purchased, consumer behavior also involves their use and disposal, since many environmental problems result from the latter."
"Consumer behavior involves services and ideas as well as _____ products.","tangible","durable","malleable","marketable","tangible","Consumer behavior involves services and ideas as well as tangible products."
"Product use is often of great interest to the marketer, because this may influence how a product is best _____ or how we can encourage increased consumption.","positioned","inventoried","manufactured","positioned","stationed","Product use is often of great interest to the marketer, because this may influence how a product is best positioned or how we can encourage increased consumption."
"For example, by understanding that consumers are more _____ to food advertising when they are hungry, we learn to schedule snack advertisements late in the afternoon.","receptive","attendant","attractive","receptive","related","For example, by understanding that consumers are more receptive to food advertising when they are hungry, we learn to schedule snack advertisements late in the afternoon."
"The impact of consumer behavior on society is also of relevance; for example, aggressive marketing of high fat foods may have serious _____ for the national health.","repercussions","affectations","aftereffects","repercussions","retributions","The impact of consumer behavior on society is also of relevance; for example, aggressive marketing of high fat foods may have serious repercussions for the national health."
"Since new products are usually initially adopted by a few consumers and only spread later and gradually to the rest of the population, companies that introduce new products must be well financed so that they can stay _____ until their products become a commercial success.","afloat","aboard","abreast","afloat","aloft","Since new products are usually initially adopted by a few consumers and only spread later and gradually to the rest of the population, companies that introduce new products must be well financed so that they can stay afloat until their products become a commercial success."
"It is important to please initial customers, since they will in turn influence many _____ customers' brand choices.","subsequent","consecutive","consequent","subsequent","subservient","It is important to please initial customers, since they will in turn influence many subsequent customers' brand choices."
"Common sense suggests that if you buy a 64-ounce bottle of laundry detergent, you should pay less per ounce than if you bought two 32-ounce bottles; in practice, however, you often pay a size _____ by buying the larger quantity.","premium","discount","increase","percentile","premium","Common sense suggests that if you buy a 64-ounce bottle of laundry detergent, you should pay less per ounce than if you bought two 32-ounce bottles; in practice, however, you often pay a size premium by buying the larger quantity."
"Consumer surveys, as any kind of research, are vulnerable to _____: the wording of a question can influence the outcome a great deal.","bias","ambiguity","bias","bigotry","weighting","Consumer surveys, as any kind of research, are vulnerable to bias: the wording of a question can influence the outcome a great deal."
"_____ measures are occasionally used to examine consumer response; for example, advertisers may want to measure a consumer's level of arousal during various parts of an advertisement.","Physiological","Paramedical","Physiological","Psychiatric","Psychotic","Physiological measures are occasionally used to examine consumer response; for example, advertisers may want to measure a consumer's level of arousal during various parts of an advertisement."
"A contract is a _____ agreement that is reached between two individuals or parties.","binding","bound","bounded","binding","boundary","A contract is a binding agreement that is reached between two individuals or parties."
"A contract between an individual and his or her employer is for the services s/he will provide in exchange for getting _____.","paid","paid","serviced","employed","accrued","A contract between an individual and his or her employer is for the services s/he will provide in exchange for getting paid."
"_____ a rental agreement to live in an apartment for one year is a kind of contract.","Signing","Writing","Sketching","Signing","Stamping","Signing a rental agreement to live in an apartment for one year is a kind of contract."
"The tenant promises to pay a _____ amount of rent, and in return, the realty agent promises to supply the accommodation.","certain","large","certain","sum","leased","The tenant promises to pay a certain amount of rent, and in return, the realty agent promises to supply the accommodation."
"A customer _____ into a contract each time s/he makes a purchase.","enters","goes","joins","becomes","enters","A customer enters into a contract each time s/he makes a purchase."
"A contract is initiated when a person makes an offer to buy something and the seller _____ his or her offer.","accepts","agrees","includes","accepts","signs","A contract is initiated when a person makes an offer to buy something and the seller accepts his or her offer."
"In order for a contract to be completed, something of _____ needs to be exchanged.","value","worth","value","goods","interest","In order for a contract to be completed, something of value needs to be exchanged."
"A contract has been created when both the buyer and the seller have agreed that there will be some kind of _____.","consideration","consideration","service","application","business","A contract has been created when both the buyer and the seller have agreed that there will be some kind of consideration."
"Any contract that is made to buy or sell something that is _____ is not enforceable under law.","illegal","illogical","illegible","illegal","illegitimate","Any contract that is made to buy or sell something that is illegal is not enforceable under law."
"A contract is required to be made by those who are legally capable, a condition called _____.","capacity","capaciousness","capacity","credence","credibility","A contract is required to be made by those who are legally capable, a condition called capacity."
"Rob Norton, of eCompany Now and Fortune magazines, notes in the article quoted below that corporate taxes are among the least efficient and least _____ of taxes.","defensible","avoidable","defeatable","defensible","reprehensible","Rob Norton, of eCompany Now and Fortune magazines, notes in the article quoted below that corporate taxes are among the least efficient and least defensible of taxes."
"The tax is popular with the man _____, who believes, incorrectly, that it is paid by corporations.","in the street","in the shop","in the street","on the block","on the job","The tax is popular with the man in the street, who believes, incorrectly, that it is paid by corporations."
"The federal corporate income tax applies only to some businesses - those chartered as corporations - and not to partnerships or _____ proprietorships.","sole","simple","single","sole","strict","The federal corporate income tax applies only to some businesses - those chartered as corporations - and not to partnerships or sole proprietorships."
"The federal tax is levied at three different rates on different _____ of income: 15 percent on taxable income under $50,000; 25 percent on income between $50,000 and $75,000; and 34 percent on income above that.","brackets","brackets","components","portions","segments","The federal tax is levied at three different rates on different brackets of income: 15 percent on taxable income under $50,000; 25 percent on income between $50,000 and $75,000; and 34 percent on income above that."
"A good reason that state and local corporate income taxes remain low is that corporations could easily _____ out of states that imposed unusually high taxes.","relocate","reinstate","relegate","relocate","replace","A good reason that state and local corporate income taxes remain low is that corporations could easily relocate out of states that imposed unusually high taxes."
"Except for emergency taxes in wartime, corporate profits were first taxed in 1909, when Congress _____ a 1 percent tax on corporation income.","enacted","decided","enacted","proscribed","retracted","Except for emergency taxes in wartime, corporate profits were first taxed in 1909, when Congress enacted a 1 percent tax on corporation income."
"The Tax Reform Act of 1986 was designed to increase the share of federal revenues collected via the corporate income tax and to decrease the share from the _____ income tax.","individual","individual","personnel","private","single","The Tax Reform Act of 1986 was designed to increase the share of federal revenues collected via the corporate income tax and to decrease the share from the individual income tax."
"While the top corporate tax rate was cut, deductions for capital expenditures were severely _____, and as a result the effective tax rate for many corporations rose.","curtailed","amended","curtailed","examined","extended","While the top corporate tax rate was cut, deductions for capital expenditures were severely curtailed, and as a result the effective tax rate for many corporations rose."
"The central problem with the corporate income tax from an economic point of view is that, ultimately, only _____ can pay taxes.","people","entities","companies","people","some","The central problem with the corporate income tax from an economic point of view is that, ultimately, only people can pay taxes."
"As early as the 17th century, Sir William Petty, one of the _____ of modern economics, argued that a tax on the production and sale of commodities would eventually be shifted by producers to consumers, who would pay it in the form of higher prices.","progenitors","planners","precursors","predecessors","progenitors","As early as the 17th century, Sir William Petty, one of the progenitors of modern economics, argued that a tax on the production and sale of commodities would eventually be shifted by producers to consumers, who would pay it in the form of higher prices."
"Mark Hennricks in Entrepreneur magazine (December 1999) warns that you should not count on friendly competition; if you do, your rivals might just steal your customers from under your _____.","nose","feet","files","nose","table","Mark Hennricks in Entrepreneur magazine (December 1999) warns that you should not count on friendly competition; if you do, your rivals might just steal your customers from under your nose."
"Potential competitors for Sparks.com, an online retailer of real greeting cards, run the _____, from the corner gift shop to Amazon.com.","gamut","gambit","gamut","gannet","gauntlet","Potential competitors for Sparks.com, an online retailer of real greeting cards, run the gamut, from the corner gift shop to Amazon.com."
"That awareness was _____ home during a recent meeting with executives of another company, supposedly to explore setting up a strategic alliance with Lindau's 70-person firm.","brought","brought","carried","sent","taken","That awareness was brought home during a recent meeting with executives of another company, supposedly to explore setting up a strategic alliance with Lindau's 70-person firm."
"""One of them laid down a briefcase and out popped one of our business plans from a year ago, which they had clearly obtained through _____ we had not intended,"" recalls Lindau.","channels","angles","channels","doors","mediums","""One of them laid down a briefcase and out popped one of our business plans from a year ago, which they had clearly obtained through channels we had not intended,"" recalls Lindau."
"""Someone to whom we had given a _____ copy of our business plan had shared it with our competition.""","confidential","clandestine","confidential","critical","cryptic","""Someone to whom we had given a confidential copy of our business plan had shared it with our competition."""
"Query vendors, customers, consultants and others who _____ business with companies in and around your field to find out if and when new competitors are likely to emerge.","do","do","have","make","talk","Query vendors, customers, consultants and others who do business with companies in and around your field to find out if and when new competitors are likely to emerge."
"Lindau says venture capitalists represent a fruitful source for competitive information for her because due _____ requires investors to research related businesses before backing a company.","diligence","deportment","determination","diligence","discernment","Lindau says venture capitalists represent a fruitful source for competitive information for her because due diligence requires investors to research related businesses before backing a company."
"Companies that occupy spots on your value chain often understand your business and customers well enough to become _____ rivals.","potent","patent","patterned","positive","potent","Companies that occupy spots on your value chain often understand your business and customers well enough to become potent rivals."
"Carefully _____ firms that have mastered technology similar to yours, even if they appear to operate in distant sectors.","scrutinize","castigate","circumvent","excoriate","scrutinize","Carefully scrutinize firms that have mastered technology similar to yours, even if they appear to operate in distant sectors."
"No one wins every sale, but if you start to lose sales to companies you've never heard of, you may be _____ the birth of new and unexpected competitors, and your early warning system may be faulty.","witnessing","feeling","noticing","undergoing","witnessing","No one wins every sale, but if you start to lose sales to companies you've never heard of, you may be witnessing the birth of new and unexpected competitors, and your early warning system may be faulty."
"Melissa Campanelli, a marketing and technology writer in Brooklyn, comments on the reasons for dotcoms to open a physical store to extend their life _____.","spans","lengths","lines","spans","streams","Melissa Campanelli, a marketing and technology writer in Brooklyn, comments on the reasons for dotcoms to open a physical store to extend their life spans."
"In the traditional realm of business, you open a retail store first and then launch a website, but since the dotcom revolution, many surviving dotcoms that skipped that first step are realizing the benefits of opening a _____ location.","brick-and-mortar","brick-and-mortar","plaster-of-paris","rock-solid","set-in-stone","In the traditional realm of business, you open a retail store first and then launch a website, but since the dotcom revolution, many surviving dotcoms that skipped that first step are realizing the benefits of opening a brick-and-mortar location."
"Anyone that has a business plan with a goal of e-commerce needs to _____ that business plan with a retail reality.","augment","augment","engineer","generate","offset","Anyone that has a business plan with a goal of e-commerce needs to augment that business plan with a retail reality."
"""We realized very early that we could not exist purely as a dotcom,"" says Sal Perisano, of iParty Corp, ""We knew we needed some terrestrial link, some reality other than a virtual company, to _____ what we were doing.""","bolster","belay","belie","bolster","brook","""We realized very early that we could not exist purely as a dotcom,"" says Sal Perisano, of iParty Corp, ""We knew we needed some terrestrial link, some reality other than a virtual company, to bolster what we were doing."""
"Physical stores give your customers a more convenient way to return goods and try out products - two options analysts say are _____ missing from Net stores.","sorely","rashly","roughly","sorely","stiffly","Physical stores give your customers a more convenient way to return goods and try out products - two options analysts say are sorely missing from Net stores."
"Owning a store offers a natural _____ flow into and out of the store, which allows an entrepreneur to gather names and begin direct-to-consumer marketing programs.","traffic","goods","pedestrian","physical","traffic","Owning a store offers a natural traffic flow into and out of the store, which allows an entrepreneur to gather names and begin direct-to-consumer marketing programs."
"However, opening a retail store is an expensive _____.","proposition","exploration","exposition","imposition","proposition","However, opening a retail store is an expensive proposition."
"For those of you who lack the funding needed to open a retail store right now, try renting a _____ in a local shopping mall.","kiosk","barrow","hut","kiosk","table","For those of you who lack the funding needed to open a retail store right now, try renting a kiosk in a local shopping mall."
"If you do want to set up _____, you should do whatever you can to learn about launching and running a traditional retail business before you do so.","shop","business","operation","shop","store","If you do want to set up shop, you should do whatever you can to learn about launching and running a traditional retail business before you do so."
"Your best _____ is to determine ahead of time whether a multichannel strategy is a good move for your dotcom.","bet","bet","chance","effort","thought","Your best bet is to determine ahead of time whether a multichannel strategy is a good move for your dotcom."
"This paper by Derek Miers received critical _____ when it was published in 1996, and the issues highlighted are just as relevant today.","acclaim","acclaim","applause","attention","awareness","This paper by Derek Miers received critical acclaim when it was published in 1996, and the issues highlighted are just as relevant today."
"Over recent years information technology has experienced an unprecedented degree of change, enabling the transformation of the basic _____ of business.","mechanisms","machinations","machines","mechanics","mechanisms","Over recent years information technology has experienced an unprecedented degree of change, enabling the transformation of the basic mechanisms of business."
"Within the next years we will see the emergence of secure, cost-effective electronic payment systems to _____ these technologies.","augment","accent","accept","augment","augur","Within the next years we will see the emergence of secure, cost-effective electronic payment systems to augment these technologies."
"Those waiting for clear signs of this new age before acting will forever be destined to observe from the _____.","sidelines","back seat","bleachers","caboose","sidelines","Those waiting for clear signs of this new age before acting will forever be destined to observe from the sidelines."
"The fundamental opportunity offered by the Internet is for suppliers to gain direct access to consumers without the attendant costs associated with the maintenance of physical distribution channels-- people, bricks and _____.","mortar","bats","concrete","mortar","sticks","The fundamental opportunity offered by the Internet is for suppliers to gain direct access to consumers without the attendant costs associated with the maintenance of physical distribution channels-- people, bricks and mortar."
"Markets and marketing concepts will change radically, driven by those companies who successfully _____ the challenge.","rise to","forge through","rise to","set up","take in","Markets and marketing concepts will change radically, driven by those companies who successfully rise to the challenge."
"11th-century Europe saw the emergence of credit-based banking systems and financial instruments such as bills of exchange, and these concepts remain with us, in their modified form, _____.","to this day","day after day","nowadays","to this day","up until today","11th-century Europe saw the emergence of credit-based banking systems and financial instruments such as bills of exchange, and these concepts remain with us, in their modified form, to this day."
"These basic concepts _____ all modern forms of commerce.","underpin","overhaul","overspread","underpin","underscore","These basic concepts underpin all modern forms of commerce."
"The rise of the Internet since the _____ of the World Wide Web has provided an easy-to-use communication channel for businesses to contact current and potential customers.","advent","advent","convention","event","provenance","The rise of the Internet since the advent of the World Wide Web has provided an easy-to-use communication channel for businesses to contact current and potential customers."
"The emergence of the Internet as a general communication channel has also given _____ to the possibility of widespread electronic commerce.","rise","hope","rise","thought","voice","The emergence of the Internet as a general communication channel has also given rise to the possibility of widespread electronic commerce."
"Joan Lloyd, of Joan Lloyd & Associates, writes that email is a medium of communication _____ for sheer convenience.","unparalleled","uncompared","undivided","unequal","unparalleled","Joan Lloyd, of Joan Lloyd & Associates, writes that email is a medium of communication unparalleled for sheer convenience."
"However, she warns that it also carries many _____ and even dangers in the office environment.","pitfalls","deadfalls","freefalls","pitfalls","pratfalls","However, she warns that it also carries many pitfalls and even dangers in the office environment."
"Delivering a negative message is difficult, even when it is spoken face-to-face; _____ is almost guaranteed when it's received by email.","defensiveness","decisiveness","defensiveness","derisiveness","discursiveness","Delivering a negative message is difficult, even when it is spoken face-to-face; defensiveness is almost guaranteed when it's received by email."
"What's worse, email can be printed and saved: both parties will often haul out their ""documentation"" to prove how the other party has _____ them.","wronged","decried","missed","reviled","wronged","What's worse, email can be printed and saved: both parties will often haul out their ""documentation"" to prove how the other party has wronged them."
"If you receive an email that _____ you off, and your first reaction is to counterattack, don't; close it and wait 24 hours before you respond.","ticks","checks","fires","seizes","ticks","If you receive an email that ticks you off, and your first reaction is to counterattack, don't; close it and wait 24 hours before you respond."
"Because the tone and _____ are missing, it is more important to use friendly language, descriptive adjectives and carefully chosen words.","inflection","inflection","intention","reflection","retraction","Because the tone and inflection are missing, it is more important to use friendly language, descriptive adjectives and carefully chosen words."
